line_id,species,wavelength_air_A,band,holding_id,instrument_id,coverage,telluric_applied_registry,normalization_state_registry,observed_conditioning,depth,blend_disposition,route,eligibility,reason,ew_mA,evidence
gf_117221,Si I,4247.685,VIS,solar_crires_plus_y_wide_rya1054,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117221,Si I,4247.685,VIS,solar_crires_plus_h_rya1094,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117222,Si I,4247.906,VIS,solar_harps,harps,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117222,Si I,4247.906,VIS,solar_kpno,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117222,Si I,4247.906,VIS,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117222,Si I,4247.906,VIS,solar_iag,iag_fts_solar_atlas,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117222,Si I,4247.906,VIS,elgueta2026_vizier,crires_plus,HOLD_pixel_coverage_not_tested,applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117222,Si I,4247.906,VIS,solar_crires_plus_y_rya794,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117222,Si I,4247.906,VIS,solar_vesta_crires_plus_idp,crires_plus,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117222,Si I,4247.906,VIS,solar_harps_molecfit_corrected,harps,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117222,Si I,4247.906,VIS,solar_kpno_molecfit_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117222,Si I,4247.906,VIS,solar_delbouille_liege,delbouille_liege_intensity,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117222,Si I,4247.906,VIS,solar_iag_reiners2016,iag_fts_solar_atlas,HOLD_pixel_coverage_not_tested,applied,,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117222,Si I,4247.906,VIS,solar_crires_plus_y_wide_rya1054,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117222,Si I,4247.906,VIS,solar_crires_plus_h_rya1094,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117223,Si I,4248.164,VIS,solar_harps,harps,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117223,Si I,4248.164,VIS,solar_kpno,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117223,Si I,4248.164,VIS,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117223,Si I,4248.164,VIS,solar_iag,iag_fts_solar_atlas,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117223,Si I,4248.164,VIS,elgueta2026_vizier,crires_plus,HOLD_pixel_coverage_not_tested,applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117223,Si I,4248.164,VIS,solar_crires_plus_y_rya794,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117223,Si I,4248.164,VIS,solar_vesta_crires_plus_idp,crires_plus,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117223,Si I,4248.164,VIS,solar_harps_molecfit_corrected,harps,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117223,Si I,4248.164,VIS,solar_kpno_molecfit_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117223,Si I,4248.164,VIS,solar_delbouille_liege,delbouille_liege_intensity,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117223,Si I,4248.164,VIS,solar_iag_reiners2016,iag_fts_solar_atlas,HOLD_pixel_coverage_not_tested,applied,,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117223,Si I,4248.164,VIS,solar_crires_plus_y_wide_rya1054,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117223,Si I,4248.164,VIS,solar_crires_plus_h_rya1094,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117224,Si I,4260.428,VIS,solar_harps,harps,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117224,Si I,4260.428,VIS,solar_kpno,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117224,Si I,4260.428,VIS,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117224,Si I,4260.428,VIS,solar_iag,iag_fts_solar_atlas,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117224,Si I,4260.428,VIS,elgueta2026_vizier,crires_plus,HOLD_pixel_coverage_not_tested,applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117224,Si I,4260.428,VIS,solar_crires_plus_y_rya794,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117224,Si I,4260.428,VIS,solar_vesta_crires_plus_idp,crires_plus,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117224,Si I,4260.428,VIS,solar_harps_molecfit_corrected,harps,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117224,Si I,4260.428,VIS,solar_kpno_molecfit_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117224,Si I,4260.428,VIS,solar_delbouille_liege,delbouille_liege_intensity,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117224,Si I,4260.428,VIS,solar_iag_reiners2016,iag_fts_solar_atlas,HOLD_pixel_coverage_not_tested,applied,,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117224,Si I,4260.428,VIS,solar_crires_plus_y_wide_rya1054,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117224,Si I,4260.428,VIS,solar_crires_plus_h_rya1094,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117225,Si I,4290.123,VIS,solar_harps,harps,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117225,Si I,4290.123,VIS,solar_kpno,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117225,Si I,4290.123,VIS,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117225,Si I,4290.123,VIS,solar_iag,iag_fts_solar_atlas,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117225,Si I,4290.123,VIS,elgueta2026_vizier,crires_plus,HOLD_pixel_coverage_not_tested,applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117225,Si I,4290.123,VIS,solar_crires_plus_y_rya794,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117225,Si I,4290.123,VIS,solar_vesta_crires_plus_idp,crires_plus,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117225,Si I,4290.123,VIS,solar_harps_molecfit_corrected,harps,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117225,Si I,4290.123,VIS,solar_kpno_molecfit_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117225,Si I,4290.123,VIS,solar_delbouille_liege,delbouille_liege_intensity,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117225,Si I,4290.123,VIS,solar_iag_reiners2016,iag_fts_solar_atlas,HOLD_pixel_coverage_not_tested,applied,,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117225,Si I,4290.123,VIS,solar_crires_plus_y_wide_rya1054,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117225,Si I,4290.123,VIS,solar_crires_plus_h_rya1094,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117226,Si I,4296.087,VIS,solar_harps,harps,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117226,Si I,4296.087,VIS,solar_kpno,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117226,Si I,4296.087,VIS,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117226,Si I,4296.087,VIS,solar_iag,iag_fts_solar_atlas,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117226,Si I,4296.087,VIS,elgueta2026_vizier,crires_plus,HOLD_pixel_coverage_not_tested,applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117226,Si I,4296.087,VIS,solar_crires_plus_y_rya794,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117226,Si I,4296.087,VIS,solar_vesta_crires_plus_idp,crires_plus,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117226,Si I,4296.087,VIS,solar_harps_molecfit_corrected,harps,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117226,Si I,4296.087,VIS,solar_kpno_molecfit_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117226,Si I,4296.087,VIS,solar_delbouille_liege,delbouille_liege_intensity,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117226,Si I,4296.087,VIS,solar_iag_reiners2016,iag_fts_solar_atlas,HOLD_pixel_coverage_not_tested,applied,,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117226,Si I,4296.087,VIS,solar_crires_plus_y_wide_rya1054,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117226,Si I,4296.087,VIS,solar_crires_plus_h_rya1094,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117227,Si I,4304.3158,VIS,solar_harps,harps,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117227,Si I,4304.3158,VIS,solar_kpno,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,not-applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117227,Si I,4304.3158,VIS,solar_kpno_kurucz2005_corrected,kpno_solar_atlas,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117227,Si I,4304.3158,VIS,solar_iag,iag_fts_solar_atlas,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117227,Si I,4304.3158,VIS,elgueta2026_vizier,crires_plus,HOLD_pixel_coverage_not_tested,applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117227,Si I,4304.3158,VIS,solar_crires_plus_y_rya794,crires_plus,outside_declared_span,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,neither,N/A,outside_declared_span,,
gf_117227,Si I,4304.3158,VIS,solar_vesta_crires_plus_idp,crires_plus,HOLD_pixel_coverage_not_tested,not-applied,unknown,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
gf_117227,Si I,4304.3158,VIS,solar_harps_molecfit_corrected,harps,HOLD_pixel_coverage_not_tested,applied,normalised,HOLD_exact_served_product_not_verified,,HOLD_not_assessed,HOLD_EW_and_synthesis_not_adjudicated,HOLD,line_identity_gf_grade_and_exact_product_evidence_pending,,
