element,ion,wavelength_air_A,instrument,ew_mA,rew,log_gf,ep_eV,predicted_depth,ew_method,panel,log_gf_used,log_gf_intake,gf_canonical
Fe,I,6911.5113,kpno_solar_atlas,25.444334499991218,-5.43398192608127,-4.04,2.4242,0.113,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0688; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_15.png,-4.04,-4.04,True
Fe,I,6916.6795,kpno_solar_atlas,75.43202350000307,-4.962341894098307,-1.45,4.1544,0.349,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0688; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_15.png,-1.28,-1.45,True
Fe,I,6930.6312,kpno_solar_atlas,22.413460000013423,-5.49026388491746,-2.042,4.58,0.081,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_15.png,-1.961,-2.042,True
Fe,I,6933.0194,kpno_solar_atlas,19.875495999998755,-5.542604440009456,-2.34,4.1909,0.096,"integrated over +/-0.307 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692; half-width 0.307 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_15.png,-2.34,-2.34,True
Fe,I,6933.6344,kpno_solar_atlas,76.38509850003896,-4.957952295242088,-2.335,2.4327,0.241,"integrated over +/-0.307 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692; half-width 0.307 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_15.png,-3.598,-2.335,True
Fe,I,6936.48,kpno_solar_atlas,11.609746499998453,-5.776316401431987,-2.25,4.607,0.05,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_15.png,-2.25,-2.25,True
Fe,I,6951.2454,kpno_solar_atlas,55.513875500053224,-5.097661073604131,-0.908,4.5585,0.377,"integrated over +/-0.185 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692; half-width 0.185 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_16.png,-0.8806,-0.908,True
Fe,I,6951.6162,kpno_solar_atlas,10.065237500000196,-5.83926175963834,-2.42,4.2833,0.068,"integrated over +/-0.185 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692; half-width 0.185 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_16.png,-2.432,-2.42,True
Fe,I,6953.0057,kpno_solar_atlas,32.98373999999898,-5.323872687009873,-3.026,3.6025,0.08,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_16.png,-3.059,-3.026,True
Fe,I,6960.3217,kpno_solar_atlas,25.960298999998113,-5.428319622605176,-1.98,4.5931,0.09,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0692,lm0696; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_16.png,-1.98,-1.98,True
Fe,I,6971.9317,kpno_solar_atlas,20.685419499990303,-5.527688791119575,-3.34,3.0176,0.136,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0696; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_16.png,-3.34,-3.34,True
Fe,I,6975.4259,kpno_solar_atlas,29.33533650002821,-5.376179655272061,-0.215,5.8283,0.214,"integrated over +/-0.420 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0696; half-width 0.420 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_16.png,-0.215,-0.215,False
Fe,I,6976.2651,kpno_solar_atlas,16.4758590000377,-5.6267749089286285,-2.165,4.6382,0.056,"integrated over +/-0.124 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0696; half-width 0.124 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_16.png,-2.107,-2.165,True
