line_id,species,wavelength_air_A,wavelength_vac_A,EP_eV,our_log_gf,our_tier,match,primary_log_gf,delta_dex,primary_label,primary_source,graded
gf_002972,C2,4563.1071,4564.3861,1.1403,-0.148,VALD3,UNIQUE,-0.1456,-0.0024,rR3f(72),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_002973,C2,4566.3577,4567.6376,1.1124,0.15,VALD3,AMBIGUOUS(3),,,,,NO
gf_002974,C2,4570.1532,4571.4341,1.0843,0.3231,VALD3,AMBIGUOUS(2),,,,,NO
gf_002975,C2,4573.3835,4574.6652,1.0572,0.3161,VALD3,AMBIGUOUS(3),,,,,NO
gf_002976,C2,4577.1324,4578.4151,1.0297,0.3101,VALD3,AMBIGUOUS(3),,,,,NO
gf_002977,C2,4580.3136,4581.5971,1.0033,0.3035,VALD3,AMBIGUOUS(4),,,,,NO
gf_002978,C2,4583.9906,4585.2751,0.9766,0.2968,VALD3,AMBIGUOUS(2),,,,,NO
gf_002979,C2,4587.1219,4588.4072,0.9509,0.2898,VALD3,AMBIGUOUS(3),,,,,NO
gf_002980,C2,4590.7259,4592.0122,0.9249,0.2832,VALD3,AMBIGUOUS(2),,,,,NO
gf_002981,C2,4592.0122,4593.2988,1.2211,-0.116,VALD3,UNIQUE,-0.1178,+0.0018,rR3f(52),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_002982,C2,4593.8063,4595.0934,0.8999,0.2762,VALD3,AMBIGUOUS(3),,,,,NO
gf_002983,C2,4594.0039,4595.2911,1.201,-0.117,VALD3,AMBIGUOUS(2),,,,,NO
gf_002984,C2,4594.1267,4595.4139,1.201,-0.125,VALD3,UNIQUE,-0.1264,+0.0014,rR3e(51),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_002985,C2,4596.5152,4597.8030,1.1808,0.18,VALD3,AMBIGUOUS(2),,,,,NO
gf_002986,C2,4596.6553,4597.9432,1.1811,-0.133,VALD3,UNIQUE,-0.1350,+0.0020,rR3f(50),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_002987,C2,4597.3363,4598.6243,0.8747,0.2692,VALD3,AMBIGUOUS(2),,,,,NO
gf_002988,C2,4598.5764,4599.8648,1.1616,0.1716,VALD3,UNIQUE,-0.1357,+0.3073,rR2f(50),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_002989,C2,4598.7374,4600.0258,1.1617,-0.142,VALD3,AMBIGUOUS(2),,,,,NO
gf_002990,C2,4600.3648,4601.6536,0.8504,0.2622,VALD3,AMBIGUOUS(2),,,,,NO
gf_002991,C2,4601.0684,4602.3574,1.1422,0.1626,VALD3,AMBIGUOUS(2),,,,,NO
gf_002992,C2,4601.2109,4602.5000,1.1425,-0.151,VALD3,UNIQUE,-0.1528,+0.0018,rR3f(48),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_002993,C2,4603.0959,4604.3855,1.1237,0.1536,VALD3,UNIQUE,-0.1535,+0.3071,rR2f(48),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_002994,C2,4603.2584,4604.5480,1.1238,-0.16,VALD3,UNIQUE,-0.1621,+0.0021,rR3e(47),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_002995,C2,4603.8197,4605.1095,0.8259,0.2548,VALD3,AMBIGUOUS(2),,,,,NO
gf_002996,C2,4605.5305,4606.8207,1.105,0.1446,VALD3,AMBIGUOUS(3),,,,,NO
gf_002997,C2,4605.6756,4606.9659,1.1053,-0.17,VALD3,UNIQUE,-0.1713,+0.0013,rR3f(46),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_002998,C2,4606.7953,4608.0858,0.8023,0.2472,VALD3,AMBIGUOUS(2),,,,,NO
gf_002999,C2,4606.9728,4608.2634,1.2748,-0.208,VALD3,ABSENT,,,,,NO
gf_003000,C2,4607.5219,4608.8126,1.0873,0.1356,VALD3,UNIQUE,-0.1721,+0.3077,rR2f(46),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003001,C2,4607.6864,4608.9772,1.0874,-0.179,VALD3,UNIQUE,-0.1810,+0.0020,rR3e(45),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003002,C2,4608.7451,4610.0362,1.257,-0.208,VALD3,UNIQUE,-0.2143,+0.0063,rR2e(45),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003003,C2,4608.8785,4610.1696,0.9527,-0.139,VALD3,ABSENT,,,,,NO
gf_003004,C2,4608.8853,4610.1764,1.2572,-0.217,VALD3,UNIQUE,-0.2236,+0.0066,rR3f(44),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003005,C2,4609.8979,4611.1893,1.0694,0.1261,VALD3,AMBIGUOUS(4),,,,,NO
gf_003006,C2,4610.0459,4611.3373,1.0697,-0.189,VALD3,UNIQUE,-0.1906,+0.0016,rR3f(44),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003007,C2,4610.1739,4611.4653,0.7786,0.2398,VALD3,AMBIGUOUS(2),,,,,NO
gf_003008,C2,4610.5894,4611.8810,1.2401,0.0881,VALD3,AMBIGUOUS(2),,,,,NO
gf_003009,C2,4610.7276,4612.0192,1.2403,-0.227,VALD3,UNIQUE,-0.2336,+0.0066,rR3e(43),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003010,C2,4611.112,4612.4037,0.9338,-0.139,VALD3,ABSENT,,,,,NO
gf_003011,C2,4611.2173,4612.5090,0.9338,-0.148,VALD3,ABSENT,,,,,NO
gf_003012,C2,4611.8512,4613.1431,1.0524,0.1161,VALD3,UNIQUE,-0.1915,+0.3076,rR2f(44),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003013,C2,4612.0179,4613.3098,1.0525,-0.199,VALD3,UNIQUE,-0.2008,+0.0018,rR3e(43),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003014,C2,4612.4502,4613.7422,1.2231,0.0781,VALD3,AMBIGUOUS(3),,,,,NO
gf_003015,C2,4612.6088,4613.9009,1.2235,-0.238,VALD3,UNIQUE,-0.2437,+0.0057,rR3f(42),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003016,C2,4613.0955,4614.3877,0.7557,0.2322,VALD3,AMBIGUOUS(2),,,,,NO
gf_003017,C2,4613.6304,4614.9228,0.9149,0.1571,VALD3,ABSENT,,,,,NO
gf_003018,C2,4613.7543,4615.0467,0.9152,-0.157,VALD3,ABSENT,,,,,NO
gf_003019,C2,4614.1672,4615.4597,1.0353,0.1071,VALD3,AMBIGUOUS(2),,,,,NO
gf_003020,C2,4614.2765,4615.5690,1.2071,0.0681,VALD3,AMBIGUOUS(2),,,,,NO
gf_003021,C2,4614.3185,4615.6110,1.0355,-0.209,VALD3,AMBIGUOUS(2),,,,,NO
gf_003022,C2,4614.4185,4615.7111,1.2072,-0.248,VALD3,UNIQUE,-0.2541,+0.0061,rR3e(41),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003023,C2,4615.909,4617.2020,0.8969,0.1476,VALD3,AMBIGUOUS(2),,,,,NO
gf_003024,C2,4616.0451,4617.3381,0.8971,-0.167,VALD3,UNIQUE,-0.1662,-0.0008,rR3e(45),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003025,C2,4616.0804,4617.3734,1.0189,0.0961,VALD3,UNIQUE,-0.2117,+0.3078,rR2f(42),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003026,C2,4616.1031,4617.3961,1.1909,0.0581,VALD3,AMBIGUOUS(3),,,,,NO
gf_003027,C2,4616.2498,4617.5428,1.0191,-0.22,VALD3,UNIQUE,-0.2214,+0.0014,rR3e(41),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003028,C2,4616.266,4617.5591,1.1912,-0.259,VALD3,UNIQUE,-0.2648,+0.0058,rR3f(40),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003029,C2,4616.397,4617.6901,0.7327,0.2245,VALD3,AMBIGUOUS(3),,,,,NO
gf_003030,C2,4617.8946,4619.1881,1.1755,0.0476,VALD3,AMBIGUOUS(2),,,,,NO
gf_003031,C2,4618.0408,4619.3343,1.1756,-0.269,VALD3,AMBIGUOUS(2),,,,,NO
gf_003032,C2,4618.3353,4619.6289,1.0025,0.0861,VALD3,AMBIGUOUS(2),,,,,NO
gf_003033,C2,4618.3903,4619.6839,0.8789,0.1381,VALD3,UNIQUE,-0.1667,+0.3048,rR2e(45),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003034,C2,4618.4901,4619.7837,1.0029,-0.23,VALD3,UNIQUE,-0.2319,+0.0019,rR3f(40),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003035,C2,4618.5175,4619.8111,0.8791,-0.177,VALD3,AMBIGUOUS(2),,,,,NO
gf_003036,C2,4619.2633,4620.5571,0.7106,0.2165,VALD3,AMBIGUOUS(2),,,,,NO
gf_003037,C2,4619.6846,4620.9786,1.1601,0.0366,VALD3,AMBIGUOUS(2),,,,,NO
gf_003038,C2,4619.8524,4621.1464,1.1603,-0.281,VALD3,UNIQUE,-0.2869,+0.0059,rR3f(38),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003039,C2,4620.2166,4621.5107,0.9869,-0.22,VALD3,AMBIGUOUS(2),,,,,NO
gf_003040,C2,4620.3654,4621.6595,0.987,0.0651,VALD3,UNIQUE,-0.2430,+0.3081,rR3e(39),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003041,C2,4620.6204,4621.9146,0.8616,0.1286,VALD3,AMBIGUOUS(2),,,,,NO
gf_003042,C2,4620.7581,4622.0523,0.8618,-0.187,VALD3,UNIQUE,-0.1860,-0.0010,rR3e(43),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003043,C2,4621.4391,4622.7335,1.1453,0.0256,VALD3,AMBIGUOUS(2),,,,,NO
gf_003044,C2,4621.5901,4622.8846,1.1455,-0.292,VALD3,UNIQUE,-0.2984,+0.0064,rR3e(37),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003045,C2,4621.963,4623.2576,1.3762,-0.267,VALD3,UNIQUE,-0.2803,+0.0133,rR1f(42),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003046,C2,4622.4011,4623.6958,0.9714,0.0646,VALD3,AMBIGUOUS(2),,,,,NO
gf_003047,C2,4622.4868,4623.7815,0.6884,0.2085,VALD3,AMBIGUOUS(2),,,,,NO
gf_003048,C2,4622.5578,4623.8525,0.9717,-0.252,VALD3,UNIQUE,-0.2541,+0.0021,rR3f(38),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003049,C2,4623.0343,4624.3291,0.8444,0.1191,VALD3,UNIQUE,-0.1865,+0.3056,rR2e(43),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003050,C2,4623.1653,4624.4602,0.8446,-0.197,VALD3,UNIQUE,-0.1962,-0.0008,rR3f(42),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003051,C2,4623.1901,4624.4850,1.1307,0.0141,VALD3,AMBIGUOUS(2),,,,,NO
gf_003052,C2,4623.3635,4624.6584,1.131,-0.304,VALD3,UNIQUE,-0.3102,+0.0062,rR3f(36),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003053,C2,4623.4042,4624.6991,1.361,-0.278,VALD3,UNIQUE,-0.2912,+0.0132,rR1e(41),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003054,C2,4624.2699,4625.5651,0.9565,0.0536,VALD3,AMBIGUOUS(2),,,,,NO
gf_003055,C2,4624.4512,4625.7464,0.9567,-0.264,VALD3,UNIQUE,-0.2657,+0.0017,rR3e(37),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003056,C2,4624.5695,4625.8647,0.741,-0.181,VALD3,UNIQUE,-0.1792,-0.0018,rR3e(47),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003057,C2,4624.9053,4626.2006,1.1167,0.0021,VALD3,AMBIGUOUS(2),,,,,NO
gf_003058,C2,4625.0158,4626.3112,1.3457,-0.288,VALD3,UNIQUE,-0.3013,+0.0133,rR1f(40),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003059,C2,4625.0619,4626.3573,1.1169,-0.316,VALD3,UNIQUE,-0.3222,+0.0062,rR3e(35),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003060,C2,4625.214,4626.5094,0.8278,0.1086,VALD3,AMBIGUOUS(2),,,,,NO
gf_003061,C2,4625.2602,4626.5556,0.667,0.028,VALD3,AMBIGUOUS(3),,,,,NO
gf_003062,C2,4625.3544,4626.6499,0.828,-0.207,VALD3,UNIQUE,-0.2066,-0.0004,rR3e(41),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003063,C2,4625.4216,4626.7171,0.6671,-0.284,VALD3,UNIQUE,-0.2825,-0.0015,rR3e(53),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003064,C2,4626.3509,4627.6466,0.9416,0.0426,VALD3,AMBIGUOUS(2),,,,,NO
gf_003065,C2,4626.4204,4627.7161,1.3312,-0.299,VALD3,UNIQUE,-0.3129,+0.0139,rR1e(39),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003066,C2,4626.5162,4627.8120,0.942,-0.276,VALD3,UNIQUE,-0.2773,+0.0013,rR3f(36),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003067,C2,4626.5383,4627.8341,1.3314,-0.311,VALD3,AMBIGUOUS(2),,,,,NO
gf_003068,C2,4626.6161,4627.9119,1.1027,-0.0094,VALD3,AMBIGUOUS(2),,,,,NO
gf_003069,C2,4626.7009,4627.9967,1.3315,-0.321,VALD3,AMBIGUOUS(2),,,,,NO
gf_003070,C2,4626.7951,4628.0909,1.1031,-0.328,VALD3,AMBIGUOUS(2),,,,,NO
gf_003071,C2,4627.2507,4628.5467,0.722,0.1156,VALD3,UNIQUE,-0.1797,+0.2953,rR2e(47),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003072,C2,4627.5594,4628.8554,0.8113,0.0981,VALD3,AMBIGUOUS(2),,,,,NO
gf_003073,C2,4627.6945,4628.9906,0.8116,-0.218,VALD3,UNIQUE,-0.2173,-0.0007,rR3f(40),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003074,C2,4628.0546,4629.3508,1.3167,-0.0149,VALD3,AMBIGUOUS(2),,,,,NO
gf_003075,C2,4628.1682,4629.4644,0.9275,0.0306,VALD3,AMBIGUOUS(2),,,,,NO
gf_003076,C2,4628.2638,4629.5600,1.317,-0.333,VALD3,UNIQUE,-0.3462,+0.0132,rR3f(36),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003077,C2,4628.2847,4629.5809,1.0896,-0.0219,VALD3,AMBIGUOUS(2),,,,,NO
gf_003078,C2,4628.3283,4629.6245,0.9278,-0.288,VALD3,UNIQUE,-0.2897,+0.0017,rR3e(35),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003079,C2,4628.441,4629.7373,0.6455,0.1922,VALD3,AMBIGUOUS(2),,,,,NO
gf_003080,C2,4628.4521,4629.7484,1.0898,-0.341,VALD3,UNIQUE,-0.3474,+0.0064,rR3e(33),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003081,C2,4629.3847,4630.6812,1.3029,-0.322,VALD3,UNIQUE,-0.3356,+0.0136,rR1e(37),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003082,C2,4629.5086,4630.8052,1.3031,-0.334,VALD3,AMBIGUOUS(2),,,,,NO
gf_003083,C2,4629.6163,4630.9129,0.7036,0.1146,VALD3,AMBIGUOUS(3),,,,,NO
gf_003084,C2,4629.6746,4630.9712,1.3032,-0.345,VALD3,UNIQUE,-0.3588,+0.0138,rR3e(35),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003085,C2,4629.6871,4630.9837,0.7955,0.0876,VALD3,AMBIGUOUS(2),,,,,NO
gf_003086,C2,4629.7456,4631.0422,0.7038,-0.2,VALD3,UNIQUE,-0.1982,-0.0018,rR3e(45),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003087,C2,4629.8302,4631.1268,0.7957,-0.229,VALD3,UNIQUE,-0.2283,-0.0007,rR3e(39),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003088,C2,4629.8825,4631.1792,1.0763,-0.329,VALD3,UNIQUE,-0.3352,+0.0062,rR1f(34),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003089,C2,4629.9838,4631.2805,1.0765,-0.342,VALD3,UNIQUE,-0.3481,+0.0061,rR2e(33),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003090,C2,4630.1358,4631.4325,1.0767,-0.354,VALD3,UNIQUE,-0.3606,+0.0066,rR3f(32),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003091,C2,4630.1998,4631.4965,0.9135,0.0191,VALD3,AMBIGUOUS(2),,,,,NO
gf_003092,C2,4630.369,4631.6658,0.9138,-0.3,VALD3,UNIQUE,-0.3019,+0.0019,rR3f(34),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003093,C2,4631.0091,4632.3061,1.2891,-0.0379,VALD3,AMBIGUOUS(2),,,,,NO
gf_003094,C2,4631.1565,4632.4535,0.6248,0.012,VALD3,AMBIGUOUS(3),,,,,NO
gf_003095,C2,4631.2228,4632.5198,1.2895,-0.357,VALD3,UNIQUE,-0.3706,+0.0136,rR3f(34),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003096,C2,4631.2788,4632.5758,0.6249,-0.301,VALD3,UNIQUE,-0.2995,-0.0015,rR3e(51),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003097,C2,4631.587,4632.8841,1.0639,-0.0474,VALD3,UNIQUE,-0.3614,+0.3140,rR2f(32),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003098,C2,4631.7566,4633.0538,1.0642,-0.368,VALD3,UNIQUE,-0.3742,+0.0062,rR3e(31),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003099,C2,4631.9552,4633.2524,0.9001,0.0061,VALD3,AMBIGUOUS(2),,,,,NO
gf_003100,C2,4631.9628,4633.2600,0.7797,0.0766,VALD3,AMBIGUOUS(2),,,,,NO
gf_003101,C2,4632.1025,4633.3997,0.7801,-0.24,VALD3,UNIQUE,-0.2395,-0.0005,rR3f(38),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003102,C2,4632.1226,4633.4198,0.9003,-0.313,VALD3,UNIQUE,-0.3149,+0.0019,rR3e(33),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003103,C2,4632.2918,4633.5891,1.276,-0.346,VALD3,UNIQUE,-0.3597,+0.0137,rR1e(35),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003104,C2,4632.3357,4633.6330,0.6855,0.2769,VALD3,AMBIGUOUS(2),,,,,NO
gf_003105,C2,4632.423,4633.7203,1.2762,-0.359,VALD3,AMBIGUOUS(2),,,,,NO
gf_003106,C2,4633.2085,4634.5060,1.0515,-0.0609,VALD3,AMBIGUOUS(2),,,,,NO
gf_003107,C2,4633.3764,4634.6740,1.0519,-0.382,VALD3,UNIQUE,-0.3882,+0.0062,rR3f(30),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003108,C2,4633.8649,4635.1626,1.263,-0.358,VALD3,UNIQUE,-0.3712,+0.0132,rR1f(34),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003109,C2,4633.9245,4635.2222,0.8869,-0.0064,VALD3,UNIQUE,-0.3025,+0.2961,rR1f(34),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003110,C2,4633.972,4635.2697,1.2631,-0.371,VALD3,UNIQUE,-0.3842,+0.0132,rR2e(33),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003111,C2,4634.0367,4635.3345,0.7647,0.0656,VALD3,AMBIGUOUS(2),,,,,NO
gf_003112,C2,4634.1043,4635.4021,0.8872,-0.326,VALD3,UNIQUE,-0.3279,+0.0019,rR3f(32),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003113,C2,4634.1069,4635.4047,1.2634,-0.383,VALD3,UNIQUE,-0.3965,+0.0135,rR3f(32),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003114,C2,4634.1827,4635.4805,0.7649,-0.252,VALD3,UNIQUE,-0.2510,-0.0010,rR3e(37),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003115,C2,4634.2577,4635.5555,0.6042,0.1755,VALD3,AMBIGUOUS(3),,,,,NO
gf_003116,C2,4634.6614,4635.9593,0.668,0.0956,VALD3,AMBIGUOUS(3),,,,,NO
gf_003117,C2,4634.7529,4636.0508,1.0397,-0.369,VALD3,AMBIGUOUS(2),,,,,NO
gf_003118,C2,4634.7922,4636.0902,0.6681,-0.22,VALD3,UNIQUE,-0.2180,-0.0020,rR3e(43),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003119,C2,4634.8774,4636.1754,1.0399,-0.383,VALD3,ABSENT,,,,,NO
gf_003120,C2,4634.9792,4636.2772,1.04,-0.396,VALD3,UNIQUE,-0.4026,+0.0066,rR3e(29),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003121,C2,4635.2276,4636.5257,1.2508,-0.0774,VALD3,AMBIGUOUS(2),,,,,NO
gf_003122,C2,4635.6225,4636.9207,0.8742,-0.0194,VALD3,UNIQUE,-3.3385,+3.3191,rQ32f(32),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003123,C2,4635.8056,4637.1038,0.8744,-0.34,VALD3,UNIQUE,-0.3417,+0.0017,rR3e(31),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003124,C2,4636.2253,4637.5236,0.7499,0.2249,VALD3,AMBIGUOUS(2),,,,,NO
gf_003125,C2,4636.3949,4637.6933,1.0282,-0.0889,VALD3,UNIQUE,-0.4034,+0.3145,rR2e(29),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003126,C2,4636.5683,4637.8667,1.0285,-0.411,VALD3,UNIQUE,-0.4175,+0.0065,rR3f(28),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003127,C2,4636.7247,4638.0232,1.2384,-0.0899,VALD3,UNIQUE,-0.3971,+0.3072,rR1f(32),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003128,C2,4636.9512,4638.2497,0.5842,0.1665,VALD3,AMBIGUOUS(2),,,,,NO
gf_003129,C2,4637.3042,4638.6028,0.6506,0.2572,VALD3,AMBIGUOUS(2),,,,,NO
gf_003130,C2,4637.5339,4638.8326,0.8617,-0.0324,VALD3,UNIQUE,-0.3285,+0.2961,rR1f(32),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003131,C2,4637.7224,4639.0211,0.862,-0.354,VALD3,UNIQUE,-0.3554,+0.0014,rR3f(30),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003132,C2,4637.8981,4639.1969,1.0171,-0.1034,VALD3,AMBIGUOUS(2),,,,,NO
gf_003133,C2,4637.9883,4639.2871,1.2268,-0.399,VALD3,UNIQUE,-3.3793,+2.9803,rQ32f(30),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003134,C2,4638.0659,4639.3647,1.0174,-0.427,VALD3,UNIQUE,-0.4329,+0.0059,rR3e(27),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003135,C2,4638.0941,4639.3929,1.227,-0.413,VALD3,UNIQUE,-0.4264,+0.0134,rR2f(30),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
gf_003136,C2,4638.26,4639.5589,0.7355,0.0431,VALD3,AMBIGUOUS(2),,,,,NO
gf_003137,C2,4638.41,4639.7089,0.7357,-0.276,VALD3,UNIQUE,-0.2749,-0.0011,rR3e(35),data/reference/cno_molecular_primary/c2_brooke2013/BrookeEtAl-C2-2013-JQSRT.zip,YES
