species,wavelength_air_A,star,abundance_dex,used,source_table
F,22714.59,2M18522108-3022143,-0.40,True,table_f.dat
F,22714.59,HD132813,-0.10,True,table_f.dat
F,22714.59,HD175588,-0.21,True,table_f.dat
F,22714.59,HD89758,,False,table_f.dat
F,22714.59,HD224935,-0.14,True,table_f.dat
F,22714.59,HD101153,,False,table_f.dat
F,22714.59,HIP54396,,False,table_f.dat
F,22778.25,2M05484106-0602007,,False,table_f.dat
F,22778.25,2M05594446-7212111,-0.25,True,table_f.dat
F,22778.25,2M06035110-7456029,0.01,True,table_f.dat
F,22778.25,2M06035214-7255079,-0.28,True,table_f.dat
F,22778.25,2M06052796-0553384,-0.32,True,table_f.dat
F,22778.25,2M06074096-0530332,-0.18,True,table_f.dat
F,22778.25,2M06124201-0025095,-0.17,True,table_f.dat
F,22778.25,2M06140107-0641072,-0.20,True,table_f.dat
F,22778.25,2M06143705-0551064,-0.14,True,table_f.dat
F,22778.25,2M06171159-7259319,-0.12,True,table_f.dat
F,22778.25,2M06223443-0443153,,False,table_f.dat
F,22778.25,2M06231693-0530385,-0.20,True,table_f.dat
F,22778.25,2M06520463-0047080,,False,table_f.dat
F,22778.25,2M06551808-0148080,-0.19,True,table_f.dat
F,22778.25,2M06574070-1231239,,False,table_f.dat
F,22778.25,2M10430394-4605354,-0.19,True,table_f.dat
F,22778.25,2M11042542-7318068,-0.25,True,table_f.dat
F,22778.25,2M12101600-4936072,-0.10,True,table_f.dat
F,22778.25,2M13403516-5040261,-0.25,True,table_f.dat
F,22778.25,2M14131192-4849280,-0.19,True,table_f.dat
F,22778.25,2M14240039-6252516,-0.08,True,table_f.dat
F,22778.25,2M14241044-6218367,-0.16,True,table_f.dat
F,22778.25,2M14260433-6219024,-0.07,True,table_f.dat
F,22778.25,2M14261117-6240220,-0.05,True,table_f.dat
F,22778.25,2M14275833-6147534,-0.07,True,table_f.dat
F,22778.25,2M14283733-6257279,-0.18,True,table_f.dat
F,22778.25,2M14291063-6317181,-0.18,True,table_f.dat
F,22778.25,2M14311520-6145468,-0.18,True,table_f.dat
F,22778.25,2M14322072-6215506,-0.46,True,table_f.dat
F,22778.25,2M14332169-6302108,-0.24,True,table_f.dat
F,22778.25,2M14332869-6211255,-0.22,True,table_f.dat
F,22778.25,2M14333081-6221450,-0.10,True,table_f.dat
F,22778.25,2M14333688-6232028,-0.02,True,table_f.dat
F,22778.25,2M14345114-6225509,-0.04,True,table_f.dat
F,22778.25,2M14360142-6228561,-0.21,True,table_f.dat
F,22778.25,2M14360935-6309399,0.02,True,table_f.dat
F,22778.25,2M14371958-6251344,,False,table_f.dat
F,22778.25,2M14375085-6237526,-0.14,True,table_f.dat
F,22778.25,2M15161949+0244516,-0.27,True,table_f.dat
F,22778.25,2M17584888-2351011,-0.18,True,table_f.dat
F,22778.25,2M18103303-1626220,0.16,True,table_f.dat
F,22778.25,2M18142346-2136410,0.13,True,table_f.dat
F,22778.25,2M18191551-1726223,0.01,True,table_f.dat
F,22778.25,2M18522108-3022143,-0.29,True,table_f.dat
F,22778.25,HD132813,-0.05,True,table_f.dat
F,22778.25,HD175588,-0.07,True,table_f.dat
F,22778.25,HD89758,-0.28,True,table_f.dat
F,22778.25,HD224935,-0.19,True,table_f.dat
F,22778.25,HD101153,0.01,True,table_f.dat
F,22778.25,HIP54396,-0.05,True,table_f.dat
F,22826.86,2M05484106-0602007,-0.28,True,table_f.dat
F,22826.86,2M05594446-7212111,,False,table_f.dat
F,22826.86,2M06035110-7456029,,False,table_f.dat
F,22826.86,2M06035214-7255079,-0.16,True,table_f.dat
F,22826.86,2M06052796-0553384,-0.45,True,table_f.dat
F,22826.86,2M06074096-0530332,-0.18,True,table_f.dat
F,22826.86,2M06124201-0025095,,False,table_f.dat
F,22826.86,2M06140107-0641072,,False,table_f.dat
F,22826.86,2M06143705-0551064,-0.32,True,table_f.dat
F,22826.86,2M06171159-7259319,,False,table_f.dat
F,22826.86,2M06223443-0443153,-0.27,True,table_f.dat
F,22826.86,2M06231693-0530385,-0.31,True,table_f.dat
F,22826.86,2M06520463-0047080,-0.34,True,table_f.dat
F,22826.86,2M06551808-0148080,-0.30,True,table_f.dat
F,22826.86,2M06574070-1231239,-0.19,True,table_f.dat
F,22826.86,2M10430394-4605354,-0.20,True,table_f.dat
F,22826.86,2M11042542-7318068,,False,table_f.dat
F,22826.86,2M12101600-4936072,-0.33,True,table_f.dat
F,22826.86,2M13403516-5040261,-0.29,True,table_f.dat
F,22826.86,2M14131192-4849280,-0.16,True,table_f.dat
F,22826.86,2M14240039-6252516,-0.04,True,table_f.dat
F,22826.86,2M14241044-6218367,-0.17,True,table_f.dat
F,22826.86,2M14260433-6219024,-0.08,True,table_f.dat
F,22826.86,2M14261117-6240220,-0.14,True,table_f.dat
F,22826.86,2M14275833-6147534,-0.04,True,table_f.dat
F,22826.86,2M14283733-6257279,-0.14,True,table_f.dat
F,22826.86,2M14291063-6317181,,False,table_f.dat
F,22826.86,2M14311520-6145468,-0.19,True,table_f.dat
F,22826.86,2M14322072-6215506,-0.46,True,table_f.dat
F,22826.86,2M14332169-6302108,,False,table_f.dat
F,22826.86,2M14332869-6211255,,False,table_f.dat
F,22826.86,2M14333081-6221450,-0.15,True,table_f.dat
F,22826.86,2M14333688-6232028,-0.07,True,table_f.dat
F,22826.86,2M14345114-6225509,-0.01,True,table_f.dat
F,22826.86,2M14360142-6228561,,False,table_f.dat
F,22826.86,2M14360935-6309399,,False,table_f.dat
F,22826.86,2M14371958-6251344,-0.24,True,table_f.dat
F,22826.86,2M14375085-6237526,,False,table_f.dat
F,22826.86,2M15161949+0244516,,False,table_f.dat
F,22826.86,2M17584888-2351011,-0.20,True,table_f.dat
F,22826.86,2M18103303-1626220,0.12,True,table_f.dat
F,22826.86,2M18142346-2136410,0.02,True,table_f.dat
F,22826.86,2M18191551-1726223,-0.04,True,table_f.dat
F,22826.86,2M18522108-3022143,-0.35,True,table_f.dat
F,22826.86,HD132813,-0.06,True,table_f.dat
F,22826.86,HD175588,-0.14,True,table_f.dat
F,22826.86,HD89758,,False,table_f.dat
F,22826.86,HD224935,-0.20,True,table_f.dat
F,22826.86,HD101153,-0.06,True,table_f.dat
F,22826.86,HIP54396,-0.02,True,table_f.dat
F,22886.73,2M05484106-0602007,-0.41,True,table_f.dat
F,22886.73,2M05594446-7212111,-0.36,True,table_f.dat
F,22886.73,2M06035110-7456029,-0.24,True,table_f.dat
F,22886.73,2M06035214-7255079,-0.25,True,table_f.dat
F,22886.73,2M06052796-0553384,-0.48,True,table_f.dat
F,22886.73,2M06074096-0530332,-0.26,True,table_f.dat
F,22886.73,2M06124201-0025095,-0.34,True,table_f.dat
F,22886.73,2M06140107-0641072,-0.28,True,table_f.dat
F,22886.73,2M06143705-0551064,-0.27,True,table_f.dat
F,22886.73,2M06171159-7259319,-0.54,True,table_f.dat
F,22886.73,2M06223443-0443153,-0.32,True,table_f.dat
F,22886.73,2M06231693-0530385,-0.43,True,table_f.dat
F,22886.73,2M06520463-0047080,-0.25,True,table_f.dat
F,22886.73,2M06551808-0148080,-0.36,True,table_f.dat
F,22886.73,2M06574070-1231239,-0.24,True,table_f.dat
F,22886.73,2M10430394-4605354,-0.34,True,table_f.dat
F,22886.73,2M11042542-7318068,-0.27,True,table_f.dat
F,22886.73,2M12101600-4936072,-0.25,True,table_f.dat
F,22886.73,2M13403516-5040261,-0.26,True,table_f.dat
F,22886.73,2M14131192-4849280,-0.18,True,table_f.dat
F,22886.73,2M14240039-6252516,-0.05,True,table_f.dat
F,22886.73,2M14241044-6218367,-0.18,True,table_f.dat
F,22886.73,2M14260433-6219024,-0.10,True,table_f.dat
F,22886.73,2M14261117-6240220,0.08,True,table_f.dat
F,22886.73,2M14275833-6147534,-0.00,True,table_f.dat
F,22886.73,2M14283733-6257279,-0.12,True,table_f.dat
F,22886.73,2M14291063-6317181,-0.08,True,table_f.dat
F,22886.73,2M14311520-6145468,-0.16,True,table_f.dat
F,22886.73,2M14322072-6215506,-0.61,True,table_f.dat
F,22886.73,2M14332169-6302108,-0.32,True,table_f.dat
F,22886.73,2M14332869-6211255,-0.32,True,table_f.dat
F,22886.73,2M14333081-6221450,-0.09,True,table_f.dat
F,22886.73,2M14333688-6232028,0.05,True,table_f.dat
F,22886.73,2M14345114-6225509,0.11,True,table_f.dat
F,22886.73,2M14360142-6228561,-0.28,True,table_f.dat
F,22886.73,2M14360935-6309399,0.18,True,table_f.dat
F,22886.73,2M14371958-6251344,-0.32,True,table_f.dat
F,22886.73,2M14375085-6237526,-0.27,True,table_f.dat
F,22886.73,2M15161949+0244516,-0.48,True,table_f.dat
F,22886.73,2M17584888-2351011,-0.24,True,table_f.dat
F,22886.73,2M18103303-1626220,0.15,True,table_f.dat
F,22886.73,2M18142346-2136410,0.21,True,table_f.dat
F,22886.73,2M18191551-1726223,0.04,True,table_f.dat
F,22886.73,2M18522108-3022143,-0.51,True,table_f.dat
F,22886.73,HD132813,0.18,True,table_f.dat
F,22886.73,HD175588,0.13,True,table_f.dat
F,22886.73,HD89758,-0.27,True,table_f.dat
F,22886.73,HD224935,0.10,True,table_f.dat
F,22886.73,HD101153,0.22,True,table_f.dat
F,22886.73,HIP54396,0.20,True,table_f.dat
F,22957.94,2M05484106-0602007,-0.21,True,table_f.dat
F,22957.94,2M05594446-7212111,-0.27,True,table_f.dat
F,22957.94,2M06035110-7456029,-0.05,True,table_f.dat
F,22957.94,2M06035214-7255079,-0.16,True,table_f.dat
F,22957.94,2M06052796-0553384,-0.33,True,table_f.dat
F,22957.94,2M06074096-0530332,-0.19,True,table_f.dat
F,22957.94,2M06124201-0025095,-0.06,True,table_f.dat
F,22957.94,2M06140107-0641072,-0.25,True,table_f.dat
F,22957.94,2M06143705-0551064,-0.17,True,table_f.dat
F,22957.94,2M06171159-7259319,-0.36,True,table_f.dat
F,22957.94,2M06223443-0443153,-0.12,True,table_f.dat
F,22957.94,2M06231693-0530385,-0.12,True,table_f.dat
F,22957.94,2M06520463-0047080,-0.17,True,table_f.dat
