element,ion,band,wavelength_air_A,ew_mA,rew,a_1dlte,in_aggregate_1dlte,excluded_reason_1dlte,elo_eV,eup_eV,loggf,n_vald_candidates,network,domain_reason,feature_ok,delta_E_ok,level_ok,stellar_ok,in_domain,delta_E_eV,aberr,aberr_axis_line,aberr_if_extrapolated,a_3dnlte
Fe,I,VIS,5285.127,,,7.641,True,nan,4.4346,6.7799,-1.66,1,gt02,,True,True,True,True,True,2.3453,0.05090881668623885,,0.05090881668623885,7.691908816686239
Fe,I,VIS,5288.525,,,7.377,True,nan,3.6946,6.0383,-1.49,1,gt02,,True,True,True,True,True,2.3436999999999997,0.02630381045130932,0.024966348456573764,0.02630381045130932,7.403303810451309
Fe,I,VIS,5302.3,,,7.532,True,nan,3.283,5.6207,-0.73,2,gt02,,True,True,True,True,True,2.3377000000000003,0.06294938330651523,,0.06294938330651523,7.594949383306515
Fe,I,VIS,5324.179,,,7.55,True,nan,3.2112,5.5392,-0.11,1,gt02,,True,True,True,True,True,2.3280000000000003,0.08406605537044998,,0.08406605537044998,7.63406605537045
Fe,I,VIS,5339.929,,,7.509,True,nan,3.2657,5.5869,-0.63,1,gt02,,True,True,True,True,True,2.3212,0.06665681758308153,,0.06665681758308153,7.575656817583082
Fe,I,VIS,5353.374,,,7.261,True,nan,4.1034,6.4187,-0.76,1,gt02,,True,True,True,True,True,2.3153000000000006,0.051560904413227665,0.049776100409278254,0.051560904413227665,7.312560904413227
Fe,I,VIS,5373.709,,,7.465,True,nan,4.4733,6.7799,-0.71,1,gt02,,True,True,True,True,True,2.3065999999999995,0.05058577740355617,,0.05058577740355617,7.515585777403556
Fe,I,VIS,5379.574,,,7.494,True,nan,3.6946,5.9987,-1.42,1,gt02,,True,True,True,True,True,2.3041000000000005,0.034580951532688725,,0.034580951532688725,7.528580951532689
Fe,I,VIS,5393.167,,,7.47,True,nan,3.241,5.5392,-0.72,1,gt02,,True,True,True,True,True,2.2982,0.06229275330999606,,0.06229275330999606,7.532292753309996
Fe,I,VIS,5403.822,,,7.28,True,nan,4.0758,6.3696,-0.98,1,gt02,,True,True,True,True,True,2.2938,0.04371360799181728,0.04202259489560056,0.04371360799181728,7.3237136079918175
Fe,I,VIS,5455.454,,,7.45,True,nan,4.3201,6.5921,0.27,1,gt02,,True,True,True,True,True,2.2720000000000002,0.06561319195296167,,0.06561319195296167,7.515613191952962
Fe,I,VIS,5473.9,,,7.557,True,nan,4.1544,6.4187,-0.72,1,gt02,,True,True,True,True,True,2.2643000000000004,0.05010744485954763,,0.05010744485954763,7.607107444859548
Fe,I,VIS,5476.564,,,7.668,True,nan,4.1034,6.3666,-0.28,1,gt02,,True,True,True,True,True,2.2632000000000003,0.047792974563395096,,0.047792974563395096,7.715792974563395
Fe,I,VIS,5481.438,,,7.6,True,nan,4.1909,6.4521,-1.33,1,gt02,,True,True,True,True,True,2.2611999999999997,0.04698435225391012,,0.04698435225391012,7.646984352253909
Fe,I,VIS,5483.099,,,7.507,True,nan,4.1544,6.4149,-1.39,1,gt02,,True,True,True,True,True,2.2605000000000004,0.045222918141606075,,0.045222918141606075,7.552222918141606
Fe,I,VIS,5493.499,,,6.888,True,nan,4.1034,6.3597,-1.48,1,gt02,,True,True,True,True,True,2.2563000000000004,0.042726637813379945,0.04912957241544336,0.042726637813379945,6.93072663781338
Fe,I,VIS,5532.747,,,7.196,True,nan,3.5732,5.8135,-1.89,1,gt02,,True,True,True,True,True,2.2403000000000004,0.046594221065015554,0.0434072155755669,0.046594221065015554,7.242594221065016
Fe,I,VIS,5538.516,,,7.547,True,nan,4.2176,6.4555,-1.54,2,gt02,,True,True,True,True,True,2.2379,0.03681450088632292,,0.03681450088632292,7.583814500886323
Fe,I,VIS,5554.894,,,7.387,True,nan,4.5485,6.7799,-0.27,1,gt02,,True,True,True,True,True,2.2314,0.0568097434599899,0.05736704355422663,0.0568097434599899,7.4438097434599895
Fe,I,VIS,5563.6,,,7.411,True,nan,4.1909,6.4187,-0.75,1,gt02,,True,True,True,True,True,2.2278000000000002,0.05065153005982703,0.05030379988034231,0.05065153005982703,7.461651530059827
Fe,I,VIS,5569.618,,,7.466,True,nan,3.417,5.6424,-0.52,1,gt02,,True,True,True,True,True,2.2254000000000005,0.06325754554641654,,0.06325754554641654,7.529257545546416
Fe,I,VIS,5572.842,,,7.452,True,nan,3.3965,5.6207,-0.28,1,gt02,,True,True,True,True,True,2.2242,0.07045020247021916,,0.07045020247021916,7.522450202470219
Fe,I,VIS,5573.102,,,7.468,True,nan,4.1909,6.4149,-1.29,1,gt02,,True,True,True,True,True,2.224,0.044210128973034626,,0.044210128973034626,7.5122101289730345
Fe,I,VIS,5586.756,,,7.329,True,nan,3.3683,5.5869,-0.11,1,gt02,,True,True,True,True,True,2.2186,0.07633569535525901,0.07498390179562561,0.07633569535525901,7.405335695355259
Fe,I,VIS,5602.767,,,7.557,True,nan,4.1544,6.3666,-0.95,1,gt02,,True,True,True,True,True,2.2122,0.04701652371697164,,0.04701652371697164,7.604016523716972
Fe,I,VIS,5602.945,,,7.559,True,nan,3.4302,5.6424,-0.89,1,gt02,,True,True,True,True,True,2.2122,0.045868972159216786,,0.045868972159216786,7.604868972159217
Fe,I,VIS,5615.644,,,7.428,True,nan,3.332,5.5392,0.04,1,gt02,,True,True,True,True,True,2.2072000000000003,0.08200155096830455,,0.08200155096830455,7.510001550968305
Fe,I,VIS,5618.632,,,7.407,True,nan,4.2089,6.4149,-1.25,1,gt02,,True,True,True,True,True,2.2060000000000004,0.04389422857419335,0.04488945270031919,0.04389422857419335,7.450894228574193
Fe,I,VIS,5624.542,,,7.637,True,nan,3.417,5.6207,-0.76,1,gt02,,True,True,True,True,True,2.2037000000000004,0.04924365075848429,,0.04924365075848429,7.686243650758484
Fe,I,VIS,5638.262,,,7.459,True,nan,4.2204,6.4187,-0.72,1,gt02,,True,True,True,True,True,2.1983000000000006,0.05012358277772211,,0.05012358277772211,7.509123582777722
Fe,I,VIS,5658.532,,,7.409,True,nan,3.4302,5.6207,-1.85,1,gt02,,True,True,True,True,True,2.1905,0.04808774987430581,0.046824742883628215,0.04808774987430581,7.457087749874305
Fe,I,VIS,5658.816,,,7.406,True,nan,3.3965,5.5869,-0.76,1,gt02,,True,True,True,True,True,2.1904,0.04989189113636079,0.048171642279734264,0.04989189113636079,7.4558918911363605
Fe,I,VIS,5662.516,,,7.367,True,nan,4.1777,6.3666,-0.41,1,gt02,,True,True,True,True,True,2.1889000000000003,0.03697506669434636,0.03671616133291672,0.03697506669434636,7.403975066694346
Fe,I,VIS,5705.992,,,7.558,True,nan,4.6076,6.7799,-0.46,1,gt02,,True,True,True,True,True,2.1723,0.05751706010122265,,0.05751706010122265,7.615517060101222
Fe,I,VIS,5709.378,,,7.421,True,nan,3.3683,5.5392,-1.01,1,gt02,,True,True,True,True,True,2.1709,0.04442110533371599,0.043088640431142244,0.04442110533371599,7.465421105333716
Fe,I,VIS,5712.131,,,7.478,True,nan,3.417,5.5869,-2.01,1,gt02,,True,True,True,True,True,2.1699,0.043387228925860555,,0.043387228925860555,7.52138722892586
Fe,I,VIS,5717.833,,,7.523,True,nan,4.2843,6.4521,-0.96,1,gt02,,True,True,True,True,True,2.1677999999999997,0.04301429425372978,,0.04301429425372978,7.56601429425373
Fe,I,VIS,5753.122,,,7.517,True,nan,4.2605,6.4149,-0.62,1,gt02,,True,True,True,True,True,2.1544,0.04462945358171716,,0.04462945358171716,7.561629453581718
Fe,I,VIS,5775.081,,,7.532,True,nan,4.2204,6.3666,-1.08,1,gt02,,True,True,True,True,True,2.1462000000000003,0.03805117401006712,,0.03805117401006712,7.570051174010067
Fe,I,VIS,5784.658,,,7.598,True,nan,3.3965,5.5392,-2.67,1,gt02,,True,True,True,True,True,2.1427,0.027113787342301007,,0.027113787342301007,7.6251137873423005
Fe,I,VIS,6003.011,,,7.644,True,nan,3.8816,5.9464,-1.1,1,gt02,,True,True,True,True,True,2.0647999999999995,0.03287278667671062,,0.03287278667671062,7.676872786676711
Fe,I,VIS,6008.556,,,7.652,True,nan,3.8835,5.9464,-0.98,1,gt02,,True,True,True,True,True,2.0628999999999995,0.022402290701225097,,0.022402290701225097,7.6744022907012255
Fe,I,VIS,6056.005,,,7.404,True,nan,4.7331,6.7799,-0.32,1,gt02,,True,True,True,True,True,2.0467999999999993,0.05720691782490139,0.05507454923348101,0.05720691782490139,7.461206917824901
Fe,I,VIS,6141.731,,,7.912,True,nan,3.6025,5.6207,-1.46,1,gt02,,True,True,True,True,True,2.0182,0.039961741430695,,0.039961741430695,7.951961741430695
Fe,I,VIS,6232.64,,,7.513,True,nan,3.6537,5.6424,-1.24,1,gt02,,True,True,True,True,True,1.9887000000000001,0.041734773145468515,,0.041734773145468515,7.554734773145468
Fe,I,VIS,6246.318,,,7.498,True,nan,3.6025,5.5869,-0.77,1,gt02,,True,True,True,True,True,1.9844,0.03679657137965661,,0.03679657137965661,7.5347965713796565
Fe,I,VIS,6301.5,,,7.513,True,nan,3.6537,5.6207,-0.71,1,gt02,,True,True,True,True,True,1.967,0.03459888583641364,,0.03459888583641364,7.547598885836414
Fe,I,VIS,6315.811,,,7.406,True,nan,4.0758,6.0383,-1.63,1,gt02,,True,True,True,True,True,1.9624999999999995,0.0277970862274399,0.026973415826181554,0.0277970862274399,7.43379708622744
Fe,I,VIS,6336.823,,,7.509,True,nan,3.6864,5.6424,-0.85,1,gt02,,True,True,True,True,True,1.9560000000000004,0.0280257212833573,,0.0280257212833573,7.537025721283357
Fe,I,VIS,6400.0,,,7.407,True,nan,3.6025,5.5392,-0.27,1,gt02,,True,True,True,True,True,1.9367,0.06501954580686177,0.06411484119067258,0.06501954580686177,7.4720195458068615
Fe,I,VIS,6408.017,,,7.509,True,nan,3.6864,5.6207,-0.99,1,gt02,,True,True,True,True,True,1.9343000000000004,0.03190386815906515,,0.03190386815906515,7.540903868159066
Fe,I,VIS,6411.648,,,7.417,True,nan,3.6537,5.5869,-0.59,1,gt02,,True,True,True,True,True,1.9331999999999998,0.03875573664383901,0.036908596403121136,0.03875573664383901,7.455755736643839
Fe,I,VIS,6627.544,,,7.612,True,nan,4.5485,6.4187,-1.59,1,gt02,,True,True,True,True,True,1.8702000000000005,0.04142924211267637,,0.04142924211267637,7.653429242112677
Fe,I,VIS,6663.231,,,7.422,True,nan,4.5585,6.4187,-1.2,1,gt02,,True,True,True,True,True,1.8601999999999999,0.021507975112245198,0.01854164314254008,0.021507975112245198,7.443507975112245
Fe,I,VIS,6705.101,,,7.33,True,nan,4.607,6.4555,-0.87,1,gt02,,True,True,True,True,True,1.8484999999999996,0.02415526698539089,0.02494875149524546,0.02415526698539089,7.354155266985391
Fe,I,VIS,6725.356,,,7.4,True,nan,4.1034,5.9464,-2.1,1,gt02,,True,True,True,True,True,1.843,0.042986682528911496,0.043365927459585674,0.042986682528911496,7.442986682528912
Fe,I,VIS,6841.339,,,7.256,True,nan,4.607,6.4187,-0.49,1,gt02,"transition energy Eup-Elo 1.8117 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,1.8117,,,0.019113113510113758,
Fe,I,VIS,6843.655,,,7.439,True,nan,4.5485,6.3597,-0.73,1,gt02,"transition energy Eup-Elo 1.8112 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,1.8112000000000004,,,0.00919122701788739,
Fe,I,VIS,6855.161,,,7.499,True,nan,4.5585,6.3666,-0.49,1,gt02,"transition energy Eup-Elo 1.8081 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,1.8080999999999996,,,0.01618210336503638,
Fe,I,VIS,6858.148,,,7.462,True,nan,4.6076,6.4149,-0.9,1,gt02,"transition energy Eup-Elo 1.8073 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",True,False,True,True,False,1.8073000000000006,,,0.01759479814929809,
