artifact,treatment,A,n_lines,n_excluded,reported_stat_dex,reported_syst_dex,line_scatter_dex,scatter_sem_dex,measurement_state,accepted_line_count
data/results/rya1218/crires_abundance_run_20260916/h/SiI_15009_17491_crires_plus_solar_crires_plus_h_rya1094_SYNTH_products.csv,1D-LTE,7.192,12,4,0.1838,0.1726,0.6365374849111165,0.18375254413136025,HOLD_estimator_or_independence,12
data/results/rya1218/crires_abundance_run_20260916/j/SiI_11980_12110_crires_plus_solar_crires_plus_j_rya1219_SYNTH_ENGINE-B_products.csv,ENGINE-B,,0,5,0.01,0.1726,,,HOLD_single_or_empty_pool,0
data/results/rya1218/crires_abundance_run_20260916/j/SiI_11980_12110_crires_plus_solar_crires_plus_j_rya1219_SYNTH_products.csv,1D-LTE,,0,5,0.01,0.1726,,,HOLD_single_or_empty_pool,0
data/results/rya1218/crires_abundance_run_20260916/y_narrow/SiI_10281_10678_crires_plus_solar_crires_plus_y_rya794_SYNTH_ENGINE-B_products.csv,ENGINE-B,7.462,6,0,0.1104,0.1726,0.2705310826257615,0.1104438519993052,HOLD_estimator_or_independence,6
data/results/rya1218/crires_abundance_run_20260916/y_narrow/SiI_10281_10678_crires_plus_solar_crires_plus_y_rya794_SYNTH_products.csv,1D-LTE,7.462,6,0,0.1104,0.1726,0.2705310826257615,0.1104438519993052,HOLD_estimator_or_independence,6
data/results/rya1218/crires_abundance_run_20260916/y_wide/SiI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_ENGINE-B_products.csv,ENGINE-B,7.484,11,0,0.0625,0.1726,0.20733503848075985,0.06251386623041626,HOLD_estimator_or_independence,11
data/results/rya1218/crires_abundance_run_20260916/y_wide/SiI_9801_10794_crires_plus_solar_crires_plus_y_wide_rya1054_SYNTH_products.csv,1D-LTE,7.484,11,0,0.0625,0.1726,0.20733503848075985,0.06251386623041626,HOLD_estimator_or_independence,11
data/results/rya1218/recovered_20260916/harps/SiI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_FROMEW_ENGINE-A_products.csv,ENGINE-A,7.613,2,5,0.0673,0.17,0.09524149800670932,0.0673459090909092,HOLD_estimator_or_independence,2
data/results/rya1218/recovered_20260916/harps/SiI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_FROMEW_ENGINE-B_products.csv,ENGINE-B,7.586,7,0,0.0526,0.17,0.13927721585795297,0.052641839493943576,HOLD_estimator_or_independence,7
data/results/rya1218/recovered_20260916/harps/SiI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_FROMEW_products.csv,1D-LTE,7.586,7,0,0.0526,0.17,0.13927721585795297,0.052641839493943576,HOLD_estimator_or_independence,7
data/results/rya1218/recovered_20260916/iag/SiI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_FROMEW_ENGINE-A_products.csv,ENGINE-A,7.658,2,5,0.0458,0.17,0.0648359064156883,0.045845909090909576,HOLD_estimator_or_independence,2
data/results/rya1218/recovered_20260916/iag/SiI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_FROMEW_ENGINE-B_products.csv,ENGINE-B,7.625,7,0,0.0281,0.17,0.07422424196472537,0.02805412649870679,HOLD_estimator_or_independence,7
data/results/rya1218/recovered_20260916/iag/SiI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_FROMEW_products.csv,1D-LTE,7.625,7,0,0.0281,0.17,0.07422424196472537,0.02805412649870679,HOLD_estimator_or_independence,7
data/results/rya1218/recovered_20260916/si_ii_synth/harps/SiII_6200_6500_harps_solar_harps_molecfit_corrected_SYNTH_FROMEW_products.csv,1D-LTE,7.562,1,0,0.01,0.17,,,HOLD_single_or_empty_pool,1
data/results/rya1218/recovered_20260916/si_ii_synth/iag/SiII_6200_6500_iag_fts_solar_atlas_solar_iag_SYNTH_FROMEW_products.csv,1D-LTE,7.618,1,0,0.01,0.17,,,HOLD_single_or_empty_pool,1
data/results/rya1218/recovered_20260916/si_ii_synth/kpno/SiII_6200_6500_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_FROMEW_products.csv,1D-LTE,7.578,1,0,0.01,0.17,,,HOLD_single_or_empty_pool,1
data/results/rya1218/reference_synthesis/SiI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_FROMEW_ENGINE-A_products.csv,ENGINE-A,7.663,2,5,0.0503,0.17,0.07119986744636683,0.050345909090909295,HOLD_estimator_or_independence,2
data/results/rya1218/reference_synthesis/SiI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_FROMEW_ENGINE-B_products.csv,ENGINE-B,7.657,7,0,0.0284,0.17,0.07515286009828497,0.028405111162184457,HOLD_estimator_or_independence,7
data/results/rya1218/reference_synthesis/SiI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_FROMEW_products.csv,1D-LTE,7.657,7,0,0.0284,0.17,0.07515286009828497,0.028405111162184457,HOLD_estimator_or_independence,7
data/results/rya1218/si_synthesis/SiI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_FROMEW_products.csv,1D-LTE,7.471,3,0,0.1279,0.1726,,,HOLD_single_or_empty_pool,0
data/results/rya1218/si_synthesis/SiI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_FROMEW_products.csv,1D-LTE,7.593,3,0,0.098,0.1726,,,HOLD_single_or_empty_pool,0
