2M05484106-0602007  -0.4  -0.33  -0.37
2M05594446-7212111  -0.34 -0.27  -0.31
2M06035110-7456029  -0.23 -0.21  -0.22
2M06035214-7255079  -0.49 -0.55  -0.52
2M06052796-0553384  -0.35 -0.31  -0.33
2M06074096-0530332  -0.43 -0.31  -0.37
2M06124201-0025095  -0.2  -0.18  -0.19
2M06140107-0641072  -0.37 -0.37  -0.37
2M06143705-0551064  -0.32 -0.21  -0.27
2M06171159-7259319  -0.23 -0.06  -0.15
2M06223443-0443153  -0.24 -0.21  -0.22
2M06231693-0530385  -0.3  -0.33  -0.32
2M06520463-0047080  -0.02 -0.02  -0.02
2M06551808-0148080  -0.34 -0.32  -0.33
2M06574070-1231239  -0.07 -0.07  -0.07
2M10430394-4605354  -0.46 -0.43  -0.44
2M11042542-7318068  -0.33 -0.29  -0.31
2M12101600-4936072  -0.39 -0.46  -0.42
2M13403516-5040261  -0.41 -0.38  -0.4
2M14131192-4849280  -0.31 -0.24  -0.27
2M14240039-6252516  -0.16 -0.1   -0.13
2M14241044-6218367  -0.22 -0.16  -0.19
2M14260433-6219024  -0.27 -0.09  -0.18
2M14261117-6240220  -0.3  -0.25  -0.28
2M14275833-6147534  -0.12 -0.12  -0.12
2M14283733-6257279  -0.33 -0.32  -0.33
2M14291063-6317181  -0.36 -0.31  -0.34
2M14311520-6145468  -0.11 -0.09  -0.1
2M14322072-6215506  -0.62 -0.61  -0.62
2M14332169-6302108  -0.28 -0.3   -0.29
2M14332869-6211255  -0.28 -0.23  -0.25
2M14333081-6221450  -0.12 -0.09  -0.1
2M14333688-6232028  -0.13 -0.12  -0.12
2M14345114-6225509  -0.34 -0.24  -0.29
2M14360142-6228561  -0.29 -0.23  -0.26
2M14360935-6309399  -0.15 -0.08  -0.11
2M14371958-6251344  -0.3  -0.24  -0.27
2M14375085-6237526  -0.39 -0.31  -0.35
2M15161949+0244516  -0.41 -0.39  -0.4
2M17584888-2351011  -0.27 -0.16  -0.21
2M18103303-1626220  -0.02  0.11   0.05
2M18142346-2136410  -0.11 -0.04  -0.08
2M18191551-1726223  -0.1  -0.02  -0.06
2M18522108-3022143  -0.16 -0.15  -0.16
HD132813            -0.04 -0.05  -0.04
HD175588             0.31  0.29   0.3
HD89758             -0.3  -0.32  -0.31
HD224935             0.06  0.1    0.08
HD101153             0.02  0.05   0.04
HIP54396            -0.2  -0.13  -0.16
