source_species,species,element,ion_or_molecule,atomic_or_molecular,wavelength_air_A,wavelength_system,excitation_potential_eV,loggf_used,band,crires_setup,stated_gf_source,traced_primary_source,gf_grade,gf_sigma,hfs_isotope_flag,diagnostic_role,source_ref,canonical_match_status,canonical_line_id,canonical_loggf,canonical_gf_tier,canonical_gf_source,delta_loggf,promotion_allowed,action,transferability,route_to,al_classification
C12O,C12O,CNO,molecule,molecular,16399.996,air,1.229,-5.984,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16606.533,air,0.774,-6.827,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16610.132,air,0.885,-6.645,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16626.179,air,0.894,-6.628,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16627.29,air,1.421,-5.864,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16633.733,air,1.401,-5.911,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16637.406,air,1.391,-5.936,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16642.539,air,0.904,-6.612,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16644.634,air,0.73,-7.175,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16670.577,air,1.917,-5.372,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16676.204,air,0.926,-6.582,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16677.631,air,1.331,-6.182,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16697.087,air,2.014,-5.319,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16697.693,air,1.316,-6.31,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16765.7,air,2.229,-5.219,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16771.625,air,0.91,-6.759,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16823.691,air,1.031,-6.487,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16868.731,air,2.796,-5.165,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,16881.793,air,1.599,-5.88,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,17098.403,air,1.86,-5.645,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,17103.343,air,1.852,-5.674,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,17129.366,air,1.348,-6.17,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,17146.822,air,1.812,-5.935,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,17163.843,air,2.521,-4.945,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,17214.466,air,1.607,-6.013,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,17246.214,air,1.622,-5.969,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,17295.446,air,2.281,-5.141,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,17386.561,air,3.783,-4.928,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23292.572,air,1.984,-4.81,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23396.28,air,0.375,-5.167,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23406.365,air,0.001,-6.565,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23408.53,air,0.365,-5.19,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23411.041,air,1.765,-4.43,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23421.193,air,0.355,-5.214,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23431.265,air,2.286,-4.757,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23475.997,air,0.322,-5.322,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23558.269,air,0.839,-4.597,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23568.674,air,1.518,-4.264,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23587.983,air,0.283,-5.591,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23590.689,air,1.61,-4.236,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23598.928,air,1.641,-4.227,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23607.621,air,1.673,-4.218,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23620.571,air,2.273,-4.327,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23661.258,air,0.27,-5.856,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C12O,C12O,CNO,molecule,molecular,23673.645,air,0.021,-6.119,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,C abundance; 12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C13O,C13O,CNO,molecule,molecular,16121.208,air,0.543,-6.922,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C13O,C13O,CNO,molecule,molecular,16139.601,air,0.384,-7.164,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C13O,C13O,CNO,molecule,molecular,16146.387,air,0.364,-7.212,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C13O,C13O,CNO,molecule,molecular,16325.859,air,0.724,-6.587,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C13O,C13O,CNO,molecule,molecular,16327.209,air,0.711,-6.606,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C13O,C13O,CNO,molecule,molecular,16758.982,air,0.512,-7.298,H,H1582,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C13O,C13O,CNO,molecule,molecular,23454.102,air,0.448,-5.303,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
C13O,C13O,CNO,molecule,molecular,23455.296,air,0.825,-5.124,K,K2166,Plez online compilation,UNTRACED_MOLECULAR_TRANSITION,MOLECULAR_SOURCE_UNTRACED,,isotope-sensitive,12C/13C,10.3847/1538-4357/ae7de8,MOLECULAR_SCHEMA_SEPARATE,,,,,,False,TRACE_MOLECULAR_LINE_LIST,GIANT_SPECIFIC_USABILITY_ONLY_PENDING_FGK_TEST,RYA-719;RYA-720;RYA-721,
