holding,treatment,line_id,wavelength_air_A,ep_eV,abundance,in_aggregate,excluded_reason,snapshot_loggf,current_loggf,reference_loggf,delta_reference_minus_snapshot,current_gf_unchanged,reference_membership,current_grade_for_snapshot_value,grade_sigma_is_publishable,gf_source_note,sigma_A,red_chi2
solar_harps_molecfit_corrected,1D-LTE,gf_117438,5690.425,4.93,7.586,True,,-1.87,-1.87,-1.77,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0840659465287532,83.929
solar_harps_molecfit_corrected,1D-LTE,gf_117440,5701.104,4.93,7.559,True,,-2.05,-2.05,-1.95,0.09999999999999987,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0916219075596697,94.195
solar_harps_molecfit_corrected,1D-LTE,gf_117470,5772.146,5.082,7.699,True,,-1.75,-1.75,-1.65,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0851495402574058,84.779
solar_harps_molecfit_corrected,1D-LTE,gf_117477,5793.073,4.93,7.586,True,,-1.963,-1.963,-1.96,0.0030000000000001137,True,USED_BY_SOURCE_ANALYSIS,GF-NIST,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.088191980447391,81.038
solar_harps_molecfit_corrected,1D-LTE,gf_117856,6741.628,5.984,7.925,True,,-1.75,-1.75,-1.65,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0734376087867007,83.567
solar_iag,ENGINE-A,gf_117415,5645.613,4.93,,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",-2.043,-2.043,-2.04,0.0030000000000001137,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,,149.833
solar_iag,ENGINE-A,gf_117437,5684.484,4.954,,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",-1.65,-1.65,-1.55,0.09999999999999987,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,,82.511
solar_iag,ENGINE-A,gf_117438,5690.425,4.93,,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",-1.87,-1.87,-1.77,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,,62.398
solar_iag,ENGINE-A,gf_117440,5701.104,4.93,7.611875454545454,True,,-2.05,-2.05,-1.95,0.09999999999999987,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,,81.819
solar_iag,ENGINE-A,gf_117470,5772.146,5.082,7.703567272727273,True,,-1.75,-1.75,-1.65,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,,84.008
solar_iag,ENGINE-A,gf_117477,5793.073,4.93,,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",-1.963,-1.963,-1.96,0.0030000000000001137,True,USED_BY_SOURCE_ANALYSIS,GF-NIST,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,,114.091
solar_iag,ENGINE-A,gf_117856,6741.628,5.984,,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",-1.75,-1.75,-1.65,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,,84.554
solar_iag,ENGINE-B,gf_117415,5645.613,4.93,7.541,True,,-2.043,-2.043,-2.04,0.0030000000000001137,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0773635809597369,149.833
solar_iag,ENGINE-B,gf_117437,5684.484,4.954,7.65,True,,-1.65,-1.65,-1.55,0.09999999999999987,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0593199858856098,82.511
solar_iag,ENGINE-B,gf_117438,5690.425,4.93,7.597,True,,-1.87,-1.87,-1.77,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.050920491047102,62.398
solar_iag,ENGINE-B,gf_117440,5701.104,4.93,7.625,True,,-2.05,-2.05,-1.95,0.09999999999999987,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.055605499555246,81.819
solar_iag,ENGINE-B,gf_117470,5772.146,5.082,7.722,True,,-1.75,-1.75,-1.65,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.062406786912304,84.008
solar_iag,ENGINE-B,gf_117477,5793.073,4.93,7.588,True,,-1.963,-1.963,-1.96,0.0030000000000001137,True,USED_BY_SOURCE_ANALYSIS,GF-NIST,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.0679780622971527,114.091
solar_iag,ENGINE-B,gf_117856,6741.628,5.984,7.748,True,,-1.75,-1.75,-1.65,0.10000000000000009,True,USED_BY_SOURCE_ANALYSIS,systematic:K07,False,Snapshot reconstructed from source checkout; run-time gf not serialized per line,0.1149400462774516,84.554
